,Questions,Options,Answer
1,What is the main mission of GuideXpert?,"A. Promote specific colleges
B. Help students with honest, ethical and personalised career guidance
C. Increase admissions in partner colleges
D. Promote engineering courses only","B. Help students with honest, ethical and personalised career guidance"
,,,
2,What does Information mean in counselling?,"A. Helping students decide
B. Convincing students to choose a course
C. Sharing facts only
D. Giving personal advice",C. Sharing facts only
,,,
3,What does Guidance mean?,"A. Suggesting options or recommendations
B. Sharing facts only
C. Forcing students to choose a course
D. Guaranteeing placements",A. Suggesting options or recommendations
,,,
4,What is the first step in a student-centric counselling approach?,"A. Listen to the student's needs
B. Suggest a college immediately
C. Give admission forms
D. Explain fee structure",A. Listen to the student's needs
,,,
4,What is the main role of Counselling?,"A. Promote colleges
B. Provide only course information
C. Help students make informed decisions
D. Convince students to join a specific college",C. Help students make informed decisions
,,,
,,Assessment-2,
,,,
1,What is the first step in the 4-Step Counselling Flow?,"a) Guide
b) Balance
c) Acknowledge
d) Validate",c) Acknowledge
,,,
2,"When parents and students have different expectations, what should a counsellor do first?","a) Support only parents
b) Support only students
c) Acknowledge both sides
d) Reject both opinions",c) Acknowledge both sides
,,,
3,"According to counselling communication principles, how should the counsellor’s tone be?","a) Aggressive and convincing
b) Calm and guiding
c) Fast and forceful
d) Sales-focused",b) Calm and guiding
,,,
4,What are the correct steps in the 4-step counselling flow?,"A. Guide → Balance → Validate → Acknowledge
B. Acknowledge → Validate → Balance → Guide
C. Balance → Guide → Acknowledge → Validate
D. Validate → Balance → Guide → Acknowledge",B. Acknowledge → Validate → Balance → Guide
,,,
5,Why should counsellors never guarantee placement?,"A. Companies do not provide placements
B. Placements depend on student skills, companies visiting, and past records
C. Colleges do not allow placements
D. Only government colleges provide placements","B. Placements depend on student skills, companies visiting, and past records"
,,,
,,Assessment - 3,
1,What is the first step to generate leads through social media?,"a) Run paid ads
b) Post consistently on social media
c) Contact students directly
d) Create a website",b) Post consistently on social media
,,,
2,What is the main purpose of sharing career-related content on WhatsApp?,"a) Promote colleges
b) Sell courses
c) Collect fees
d) Create curiosity and engagement",d) Create curiosity and engagement
,,,
3,What should you do after a student takes the Career Clarity Test?,"a) Follow up based on their results
b) Ignore and wait
c) Send college list directly
d) Ask for payment",a) Follow up based on their results
,,,
4,What is the correct approach while talking to college authorities?,"a) Ask for leads directly
b) Start with student problems and offer value
c) Promote colleges
d) Talk about commissions",b) Start with student problems and offer value
,,,
5,Which of the following represents a serious lead?,"a) Just exploring options
b) Not sure about budget
c) Clear interest with defined goals
d) No urgency",c) Clear interest with defined goals
,,,
,,Assessment - 4,
,,,
1,Which type of content represents the wrong approach in positioning?,"a) Career clarity focused
b) Transparent guidance
c) Seat-focused and fee-focused content
d) Explaining branch differences",c) Seat-focused and fee-focused content
,,,
2,What is the result of posting like an admissions agent?,"a) High trust
b) Long-term referrals
c) Better conversions
d) Short-term enquiries and low trust",d) Short-term enquiries and low trust
,,,
3,What is the correct way to position yourself online?,"a) As a career counsellor providing clarity
b) As a college promoter
c) As a sales agent
d) As a fee consultant",a) As a career counsellor providing clarity
,,,
4,How should a certified counsellor present their online bio?,"a) Focus on admissions and fees
b) Highlight helping students choose the right career path
c) Promote colleges
d) Focus only on seat availability",b) Highlight helping students choose the right career path
,,,
5,What is the outcome of the right positioning approach?,"a) Low engagement
b) Random enquiries
c) Trust-based enquiries and long-term referrals
d) Only short-term leads",c) Trust-based enquiries and long-term referrals
,,,
,,Assessment - 5,
,,,
1,How can a counsellor log in to the GuideXpert portal?,"a) Using mobile number and OTP
b) Using email and password
c) Through social media login
d) Using referral code",a) Using mobile number and OTP
,,,
2,How can a counsellor refer a student?,"a) By sending college brochures
b) By sharing NAT exam link through referral portal
c) By asking the student to visit college directly
d) By conducting a counselling session",b) By sharing NAT exam link through referral portal
,,,
3,What is the first step in the NIAT admission journey?,"a) Application Fee
b) Entrance Interview
c) Enrollment
d) Campus Visit",a) Application Fee
,,,
4,What is the purpose of the referral system in the portal?,"a) Track student attendance
b) Earn rewards by referring students and to track admission process
c) Conduct counselling sessions
d) Manage exams",b) Earn rewards by referring students and to track admission process
,,,
5,Which tool helps predict a student’s expected rank based on performance?,"a) College Predictor
b) Exam Predictor
c) Deadline Manager
d) Rank Predictor",d) Rank Predictor